size,quicksort_time,quicksort_time_stddev,quicksort_comparison,quicksort_comparison_stddev,quicksort_swap,quicksort_swap_stddev,quicksort_tail_op_time,quicksort_tail_op_time_stdev,quicksort_tail_op_comparison,quicksort_tail_op_comparison_stddev,quicksort_tail_op_swap,quicksort_tail_op_swap_stdev,heapsort_time,heapsort_time_stddev,heapsort_comparison,heapsort_comparison_stddev,heapsort_swap,heapsort_swap_stddev
1100000,133.411800,1.698690,29270739.700000,761101.204598,14588876.500000,707357.601155,134.069600,2.801687,29270780.100000,761101.766267,14588876.500000,707357.601155,365.054600,41.611593,64955145.300000,1745.553268,21101715.100000,581.851089
1200000,147.797500,2.217880,32246497.100000,497973.026575,16197205.500000,525597.866516,146.628900,2.154151,32246538.000000,497974.182181,16197205.500000,525597.866516,405.233600,50.177671,71352549.000000,3268.431367,23184183.000000,1089.477122
1300000,161.409500,4.366928,35439923.200000,1329300.607826,17547786.500000,912955.537845,160.840600,3.341661,35439968.600000,1329303.516554,17547786.500000,912955.537845,449.736000,36.570335,77780724.900000,1457.679008,25276908.300000,485.893003
1400000,173.045500,0.885896,37339429.400000,743503.390074,19194950.200000,847157.054198,172.238100,1.189070,37339472.700000,743506.376429,19194950.200000,847157.054198,494.254500,31.832044,84233823.300000,1677.155869,27377941.100000,559.051956
1500000,185.863100,2.060764,40085543.300000,881239.948814,19954461.600000,728961.417588,184.511900,1.721918,40085584.100000,881241.001630,19954461.600000,728961.417588,521.542100,24.446243,90707080.200000,1975.808381,29485693.400000,658.602794
1600000,198.440100,1.859909,43769280.700000,778395.420738,21672890.500000,706513.474783,197.909800,1.566998,43769325.000000,778395.815769,21672890.500000,706513.474783,586.456500,46.213946,97198260.900000,1378.486812,31599420.300000,459.495604
1700000,212.588400,2.214101,45875161.800000,825593.064696,23127998.200000,807607.688953,212.361400,2.536057,45875203.500000,825594.740870,23127998.200000,807607.688953,633.980400,53.166160,103702578.000000,2075.544314,33717526.000000,691.848105
1800000,226.064100,1.800286,49847711.200000,1407590.937435,25071621.200000,563952.344625,225.303500,1.969492,49847753.900000,1407592.209841,25071621.200000,563952.344625,709.770300,44.358586,110220230.700000,3160.277078,35840076.900000,1053.425693
1900000,239.452100,2.565464,52156494.100000,1322622.330897,26203140.800000,1006155.063802,239.046600,2.837586,52156537.600000,1322623.264964,26203140.800000,1006155.063802,730.309100,39.424637,116751170.100000,3419.155962,37967056.700000,1139.718654
2000000,252.397000,1.936440,53997559.300000,1772430.064392,26669898.200000,955347.274728,251.696100,2.075530,53997601.100000,1772431.554364,26669898.200000,955347.274728,787.345400,45.144163,123289257.300000,3319.236239,40096419.100000,1106.412080
2100000,264.516200,1.059173,57827818.400000,1413533.446409,28658111.400000,1168158.201503,264.504100,1.070793,57827862.700000,1413534.406701,28658111.400000,1168158.201503,862.177700,43.283826,129841365.600000,4683.867018,42230455.200000,1561.289006
2200000,278.850800,2.793015,61224554.900000,1671820.642655,30691638.900000,1211215.853243,277.792200,2.525671,61224601.100000,1671820.758945,30691638.900000,1211215.853243,897.137300,29.749012,136510095.300000,3537.829025,44403365.100000,1179.276342
2300000,293.942100,2.043545,64789139.000000,2283528.638313,32894037.800000,2331178.592744,293.801100,2.905726,64789183.100000,2283530.287764,32894037.800000,2331178.592744,961.066200,27.483256,143199344.100000,3475.086372,46583114.700000,1158.362124
2400000,305.175900,1.989964,67072274.100000,2544856.919635,33572915.700000,1053394.461269,304.497100,2.137310,67072318.000000,2544861.019956,33572915.700000,1053394.461269,1024.440000,31.463790,149905900.200000,3046.389791,48768633.400000,1015.463264
2500000,319.922800,2.861532,70440329.200000,1505891.190689,35530570.100000,1189864.758440,318.862200,3.066036,70440372.600000,1505892.029799,35530570.100000,1189864.758440,1079.049400,38.312152,156624918.900000,3194.631542,50958306.300000,1064.877181
2600000,331.498600,1.340939,72705772.500000,830292.489275,36275354.600000,1282765.647010,331.942600,2.352521,72705816.700000,830295.693093,36275354.600000,1282765.647010,1156.654000,29.012016,163361970.600000,4690.704834,53153990.200000,1563.568278
2700000,346.950200,2.175826,75639774.800000,1306652.436265,37577512.400000,1714665.400281,345.684100,2.130546,75639819.000000,1306652.014011,37577512.400000,1714665.400281,1218.397800,71.561414,170109091.200000,2877.832059,55353030.400000,959.277353
2800000,360.655600,2.557250,79346950.000000,1316918.386918,40041118.000000,1391637.431022,359.634300,3.044399,79346996.900000,1316919.061366,40041118.000000,1391637.431022,1296.024300,43.688635,176866219.200000,4751.003532,57555406.400000,1583.667844
2900000,375.371300,2.688950,81336782.400000,1789744.671526,40667556.900000,1186898.830552,373.766700,2.470751,81336825.300000,1789745.750270,40667556.900000,1186898.830552,1338.066400,45.416744,183633819.000000,3064.703444,59761273.000000,1021.567815
3000000,388.097900,1.390796,84347750.200000,1669806.830454,41047077.900000,1045907.357516,387.912500,2.364895,84347794.200000,1669807.313756,41047077.900000,1045907.357516,1399.487500,32.059845,190414005.000000,2800.624609,61971335.000000,933.541536
3100000,402.128900,5.192622,88830221.400000,4240501.510322,44877071.900000,2807526.822908,402.252200,6.461714,88830268.100000,4240500.866202,44877071.900000,2807526.822908,1483.967400,66.358790,197198427.900000,5043.169370,64182809.300000,1681.056457
3200000,415.376500,1.920342,90752618.200000,2416650.508635,45908233.700000,2426330.491379,415.526300,3.881556,90752663.800000,2416651.430411,45908233.700000,2426330.491379,1564.807100,41.845756,203994518.700000,4344.042980,66398172.900000,1448.014327
3300000,427.879300,2.754753,93861156.900000,1428833.177526,47112028.900000,1740263.445927,428.603100,2.838730,93861201.600000,1428834.477222,47112028.900000,1740263.445927,1610.169900,72.854664,210798558.000000,2500.063639,68616186.000000,833.354546
